,time_passed,summary,agendas_covered,binned
22,690,"Andrew Knight: We have an outstanding program ahead. And so I just want to take a couple of minutes here at the outset.
Andrew Knight: To share with you how this program fits into some of the goals and the work that we're doing.
Andrew Knight: for lifelong learning and so let me just share a couple of slides at the outset, before we welcome Professor liberty visitors who is going to be
Andrew Knight: Sharing her expertise and knowledge with us today. As you may or may not know Olin lifelong learning is an initiative.",Introductions,15
23,720,"Andrew Knight: That is specifically focused on providing opportunities for alumni to engage in continuous development and the rationale for this initiative.
Andrew Knight: Is very much the fact that we make a promise in our vision and our mission statement to provide a return on investment for alumni over the course of their entire careers. And so that's what we are.
Andrew Knight: Working on with the Lifelong Learning Initiative, which is one quadrant of olins always Olin initiative.",Introductions,15
24,750,"Andrew Knight: As you've seen in some of the slides at the outset we are building currently
Andrew Knight: And testing currently a platform that will support alumni learning in community. And so this is a platform that's going to be used to deliver content, similar to what we're going to experience today, but also other
Andrew Knight: events that happen on campus, other kinds of thought leadership from our faculty as well as from alumni. And so this platform is going to be steadily rolling out in the weeks and months that come",Overview of upcoming project,15
25,780,"Andrew Knight: You'll be able to find archived content things that have happened at the school in the past that we think are relevant.
Andrew Knight: And there will be opportunities for you to engage with your fellow alumni around some of those pieces of content so that you're sharing your expertise wisdom and insights with one another.
Andrew Knight: Now as I mentioned at the start, we are so fortunate today to have with us. Professor liberty visitors.",Overview of upcoming project,15
26,810,"Andrew Knight: Who is a Professor of Practice of data science here in the business school and she is someone who truly practices. What she preaches
Andrew Knight: She is active in disseminating her knowledge and expertise with respect to statistics data and analytics through so many different channels.
Andrew Knight: Whether that is through the popular media where you might encounter some of her work and commentary, or through doing things like writing a book which is coming out here on the horizon.",Introductions,15
27,840,"Andrew Knight: Just this month. And so we are so fortunate to have someone who is skilled and has deep expertise in this topic, and at the same time someone who is a skilled communicator about this topic. And so without further ado, please join me in welcoming Professor liberty that hurt.
Paul McCartney: Hi, everybody. Thank you. I think I need to fire my PR person. And have you, Andrew. That was great. Um, does the screen. Look. Okay. Can you all see it.",Introductions,15
28,870,"Paul McCartney: I think I hope I shared it right I'm learning zoom. Okay. Um, thank you all so much for having me here today I wanted to sort of
Paul McCartney: dive right in. I have these two graphs or two if you get bored listening to me talk
Paul McCartney: But, um, you know, we've lived as humanists in our decision making for a very long time we go off our thoughts or opinions, our experience our gut and we are now living in this era of data ism.",Paul McCartney's talk on the importance of data science,15
29,900,"Paul McCartney: Where we have data drive our decisions, you know, from climate change to health care the refugee crisis. These all encompassing issues.
Paul McCartney: But also in our everyday lives. You know, I don't go to the bookstore anymore. Amazon tells me what to read or dating apps tell you who you're compatible with
Paul McCartney: And I read an article like two or three days ago from new research that red wine is terrible for you and I swear. Two days later I read that red wine is wonderful for you and you should drink it.",Paul McCartney's talk on the importance of data science,15
30,930,"Paul McCartney: And it feels almost that humanism and data ism, or sort of pushing back against each other right now. Some people want to still go with that gut instinct and others want to have the drive are every decision.
Paul McCartney: But really the future is about bringing them together and that's what we're going to sort of touch on and have a taste of today is how we can get incredible ideas from data.
Paul McCartney: But we also need to use that human touch. And I also want to say please use common questions, anything you want in the chat and makes it a lot more fun.",Paul McCartney's talk on the importance of data science,20
31,960,"Paul McCartney: Throughout the whole thing and I'll respond as we go. Um, so I want to start before we go into our many examples. And by the way, all these examples are short. So if one's boring. Just wait a couple minutes moving to a new one.
Paul McCartney: Um, I wanted to visit with a French monk from the 17th century Blaise Pascal. You might also remember them from high school without Pascal's triangle so Pascal was a French monk who had a crisis of faith, but he decided to analyze his data.",Paul McCartney's talk on the importance of data science,20
32,990,"Paul McCartney: He felt that he had four scenarios. First, God doesn't exist, but he chooses to believe in God. He may live a wasted life with false belief, but when he dies, nothing happens.
Paul McCartney: Now, he could not believe in God and God doesn't exist, and he may not have lived a wasted life of false belief, but again, when he dies, nothing happens.",Paul McCartney's talk on the importance of data science,20
33,1020,"Paul McCartney: Now the third option God exists, and he believes in God, when he dies, he has the best case scenario heaven for him.
Paul McCartney: But if God exists, and we don't believe in God. The fourth scenario, then it's eternal Hellfire really bad thing.
Paul McCartney: So what Pascal decided to do was to minimize the risk of the bad thing happening by believing in God and maximizing the potential is a good thing.
Paul McCartney: So he ruled out this possibility and left a 5050 chance of the best thing happening.",General conversation,20
34,1050,"Paul McCartney: And that's really what data science is it's taking information from past and current events to predict the likelihood of a future event happening really the closest thing to a crystal ball. But the world has
Paul McCartney: The only difference between us and Pascal is we don't have four scenarios or four pieces of information we have endless amounts of data that is telling us what to do.
Paul McCartney: And we also have something else. We're not sitting in a monastery, while we do this, we are having governments, businesses companies managers customers, clients even scientists, researchers",Paul McCartney's talk on the importance of data science,20
35,1080,"Paul McCartney: And we also have something else. We're not sitting in a monastery, while we do this, we are having governments, businesses companies managers customers, clients even scientists, researchers
Paul McCartney: Trying to inform manipulate or persuade us using this data. So we need to be able to ask the right questions when data comes to us from a report or study or anything comes to us.
Paul McCartney: I want to discuss the questions that I ask every time I see one of these things. So we're going to have our for questions. And we're going to have examples of how if someone had just asked those questions.",Paul McCartney's talk on the importance of data science,20
36,1110,"Paul McCartney: Everything would have been averted. The downside would have been minimized and the upside maximized. So let's start with our first question, who
Paul McCartney: OJ Simpson, one of the most infamous criminal trials in American history to remind you. Oh Jay was an NFL superstar accused of murdering his ex WIFE NICOLE SIMPSON AND her lover Ronald while Goodman. I'm sure all of a lot of you remember the",Paul McCartney's talk on the importance of data science,20
37,1140,"Paul McCartney: Case, and I'm sure a lot of you who are a little bit younger might remember one the Kardashian father is one of his lawyers, just to try to give some parallels there.
Paul McCartney: Um, but, Alan Dershowitz whatever your personal feelings of him might be a fate is a famed legal mind in America, and he made a very interesting statistical argument during the trial.
Paul McCartney: He said that while it was known and definite that OJ beat Nicole absolutely no contest. So the fact that he physically abused her that it didn't matter.",,20
38,1170,"Paul McCartney: Because 4 million women in the United States are abused by their domestic partners, every year, but only one in 2500 of them are then murdered by their domestic partner. So the chance that OJ did it is one in 2500 and you can't convict someone on a one in 2500 chains.
Paul McCartney: However, what the jury and most certainly the prosecution should have realized is that the statistic that Mr Dershowitz stated was completely irrelevant and here's why and Mr Dershowitz situation we have a living women who are currently domestic victims of domestic abuse.",,20
39,1200,"Paul McCartney: But at the time of the trial. NICOLE SIMPSON WAS NOT A living woman who's a victim of domestic abuse, whose chance of dying is one in 2500
Paul McCartney: But she's a murdered woman who was a victim of domestic abuse. We don't want to know the statistic about living women. We want to know the statistic about murdered women.",,20
40,1230,"Paul McCartney: Who were victims of domestic abuse. And the question we want to know is that if you were a murdered woman.
Paul McCartney: Who was a victim of domestic abuse, what is the chance that the guy who abused you murdered you versus being the victim of some random homicide.
Paul McCartney: And in that case, the chance is nine and 10 so the chance that OJ killed Nicole was actually 90% not one in 2500",,25
41,1260,"Paul McCartney: Though who we really wanted to know this statistic about changed everything.
Paul McCartney: And it is so easy to miss the prosecution had their entire careers writing on this case, the whole world was watch it and they missed it.
Paul McCartney: This simple slip of the tongue of who we really want to know our data about living women who are victims murdered women who were changes everything. So that who question is integral whenever you get data.",,25
42,1290,"Paul McCartney: Let's look at one more example of that Abraham Wald was a Jewish statistician who'd been locked out of the University positions and fled to the US before World War Two.
Paul McCartney: To avoid persecution and hungry.
Paul McCartney: And he was recruited to help with the Allied cause and look at plane bombers that came back, he was told the analyze the bullet wounds on the plane bombers that came back.
Paul McCartney: And decide which area of the plane that he should reinforce. So my question is, if you're Abraham walled, how do you decide by looking at these planes.",Paul McCartney's talk on the importance of data science,25
43,1320,"Paul McCartney: What area, you should reinforce if you reinforce 10% of the plane.
Paul McCartney: And he started with this data. This is the data. He had of all the planes that had come back bullet holes per square foot of the section of the plan. So just take one second, five seconds and think, where you would reinforce the plane. If you were Walt. Given this data.
Paul McCartney: Anyone is brave enough to put it into the chat. I'll be very impressed.",Paul McCartney's talk on the importance of data science,25
44,1350,"Paul McCartney: Real cockpit. Great.
Paul McCartney: Anywhere but we have everyone is too smart here.
Paul McCartney: Where the red dots are red gunner everyone is really smart here okay engines. So what most people think
Paul McCartney: And what most people say is the area where there are the most bullets. Right. So the wings, the fuselage where the dots are the areas most bullets. That is what most people think and the most obvious answer.",Paul McCartney's talk on the importance of data science,25
45,1380,"Paul McCartney: What Walt is so famous for doing is saying that's actually not where we put it where we need to reinforce the planes or the undamaged parts and here's why.
Paul McCartney: We have to who's we have planes that crashed abroad, the planes, the bombers that didn't make it back.
Paul McCartney: And we have the planes that wall does able to see that we have did trivia. Trivia, I just saw this question in the chat, maybe lose my train of thought the trivia that came back. Now the planes that returned home.",Paul McCartney's talk on the importance of data science,25
46,1410,"Paul McCartney: So we have two samples planes that crashed abroad planes that returned home, these are the ones come and see my cursor. I hope so. So I'm like pointing at the screen to which obviously you can see
Paul McCartney: The planes that returned home, or what Walt was able to see and those planes when they got hit on the wings or the cockpit.
Paul McCartney: Right here. There's the cockpit. This is our engine when they got hit in the wings. They did their job. They made it back.
Paul McCartney: They were not hit in the cockpit or the engine, the planes that crashed abroad, when they were hit in the cockpit or engine. They couldn't make it back.",Paul McCartney's talk on the importance of data science,25
47,1440,"Paul McCartney: So, those who were looking at, or sometimes ones we can't even see and it gives us a whole nother answer of where we should be reinforcing the planes, so that both groups, both samples are able to make it back.
Paul McCartney: So this brings us to our second question we have our first have who is the data really about, who do we want to know this data about and next",Paul McCartney's talk on the importance of data science,25
48,1470,"Paul McCartney: Is what exactly are we, why are we prone to making this type of mistake error. Very good question. Andrew
Paul McCartney: Part of what happens when we're trying to think about these things is we miss the simple answer right. Where's look so focused on looking at the data, the planes that made it back.
Paul McCartney: That we don't take a step back and say, Who is it that we really care about. We don't really care about the planes that made it back, right, because they made it back. They did their job.
Paul McCartney: We actually care about the who didn't make it back. So it's, it's all about taking one step back from the data and asking these actually very broad stroke questions.",Paul McCartney's talk on the importance of data science,25
49,1500,"Paul McCartney: So our second question is, what what is, what is it that we really want to know if our data.
Paul McCartney: Uber, there was an Uber ban in London Transport for London office. The authorizing authority for all taxis in London band Uber.
Paul McCartney: Now, there's a lot of questions about why exactly they did it. But why they said they did it. Is that Uber was dangerous Uber had become associated with sexual assaults. I remember I was in London.",Paul McCartney's talk on the importance of data science,25
50,1530,"Paul McCartney: I was getting an Uber. I was on the phone with my father and I said, Dad. I'll call you back. And he said, No, no, no. Liberty. Where are you, I said, I'm getting into Uber. He goes no, I've heard those are so dangerous in London. You can't get into what
Paul McCartney: It's like 4pm on a Tuesday. But anyway, the public believed that Uber was dangerous the public truly believed it. So how, how did the public come to believe that Uber was dangerous.
Paul McCartney: Well, the London taxi drivers Association, which is what you think of when you think of a black cab in London. They put up an advertisement.",,30
51,1560,"Paul McCartney: Last year there are 154 rapes and sexual assaults by many cab drivers in London at least 32 of these Uber drivers.
Paul McCartney: There's also an image of a girl her makeup is streaming down her face. She is clearly just been sexually assaulted.
Paul McCartney: I just wanted to go home. Don't take a risk with a mini cap that's an incredibly powerful advertisement. And if you notice the Metropolitan Police. The London Police logo.
Paul McCartney: And the Transport for London office logo are both at the bottom of this ad incredibly powerful.",,30
52,1590,"Paul McCartney: And the Transport for London office logo are both at the bottom of this ad incredibly powerful.
Paul McCartney: And just do us a little bit of vocab when they say taxis taxis are black cabs, which are what you think of when you think of a London cab and mini caps that's any other type of private car transportation
Paul McCartney: Uber's included so when they say 154 rapes and sexual assaults by mini cab drivers in London, they mean everything but blackcaps
Paul McCartney: Very powerful advertisement. The problem is that it wasn't true.
Paul McCartney: What the freedom of information request act actually said is that there were 154 allegations of rape or sexual assault, where the suspect was alleged to be a taxi driver that includes blackcaps 32 of these or by an Uber driver.",,30
53,1620,"Paul McCartney: So clearly the black cab Association had taken themselves out of this when they were asked about this. They said, oops, sorry clerical error.
Paul McCartney: Oh, we'll take it down and they did and they put up another one last year there 32 allegations of rape or sexual assault made against Uber drivers, the same image of the girl her makeup streaming down her face. She has clearly just been sexually assaulted. I just wanted to go home.",,30
54,1650,"Paul McCartney: Why up your risk with a mini cab. Now, it's true. The information is true. But, what question do we really want to know of our data.
Paul McCartney: Do you really up your risk. So let's take a look at the very simple numbers. We were given the wrong number of salts 32 by Uber drivers 154 total",,30
55,1680,"Paul McCartney: But is that really what we want to know of our numbers. Is that really what we want to know of our data.
Paul McCartney: If Uber was responsible for 32 sexual assaults, but only did 32 journeys, the entire year in London, they would be very dangerous. There's 100% chance you'll be sexually assaulted. If you get an Uber.
Paul McCartney: What if they did millions of journeys. What if they did many more than all of the others. So let's take a look.
Paul McCartney: Proportion of sexual assaults by Uber drivers 32 by Uber 154 total. So they are Uber's responsible for 20% of a sexual assaults in London.",,30
56,1710,"Paul McCartney: But how many journeys are they responsible for number of journeys in London and any kind of taxi, including Uber's 3,000,001 million of those are completed by Uber.
Paul McCartney: So Uber is responsible for 33% of the journeys, but only 20% of the sexual assaults, meaning that Uber is actually a safer way to get around than any other type of tax.",,30
57,1740,"Paul McCartney: And what about these headlines, the number of cab drivers charged with violence or sexual offenses in London. Is it a five year high
Paul McCartney: Trying to say that with the introduction of Uber London has taxis have gotten much less safe well in 2015 there 136 reports of rape or sexual assault by taxis. When this headline was written.
Paul McCartney: And what is the definition of a five year high, it means it was just as high five years ago in 2009 three years before Uber even started there 136 reports of rape or sexual assault by taxi drivers Uber had nothing to do with making it more unsafe.",,30
58,1770,"Paul McCartney: Now this seems like an unfortunate situation for Uber. But there's more to it. There's 3.5 million customers who last and arguably better product.
Paul McCartney: 40,000 jobs are potentially lost from this and most Uber drivers and lease or contract higher their cars and then obviously the revenue for Uber in London.
Paul McCartney: So what we really want to know of our data, the raw numbers. The proportions, the relative proportions changes the entire analysis.",,30
59,1800,"Paul McCartney: So now we'll do one more example of what that's a little bit lighter and my mother. My mother was very excited when she saw these headlines.
Paul McCartney: Chocolate can stave off all simers as cocoa, the brain drug of the future chocolate improves brain function. This is about a year and a half ago, my mother was ecstatic. She called me. She said, liberty, I told you so.
Paul McCartney: This is amazing. And she asked me the question that we probably wanted to ask of the data. How much chocolate. Can you look back at the study liberty. How much chocolate. Can I actually get to eat.",General conversation,30
60,1830,"Paul McCartney: In order to potentially reduce my risk. So that was the question she asked, and that is what we want to know. Right. How much chocolate. Do I get to eat to potentially reduce my risk.
Paul McCartney: Well, it's obviously not chocolate. That's what reduces our risk. It's a bioactive called flavanols and flavanols are in chocolate. They're also in red wine.",Paul McCartney's talk on the importance of data science,35
61,1860,"Paul McCartney: And so the question really is, is how many flavanols. Do I have to eat every day. And that's 510 milligrams. So unless you're going to take a five and all pill. You want to know how many flavanols are in chocolate.
Paul McCartney: So let's say you, um, you're not really a chocolate person, but you might drink, eat some cocoa powder, you know, put it in, mix it into water a little hot chocolate.
Paul McCartney: And you'd have to have 20 cups of hot chocolate every day in order to potentially reduce your risk.
Paul McCartney: If you don't like hot chocolate and your dark chocolate person you'd have to have 1600 calories of dark chocolate every day.",General conversation,35
62,1890,"Paul McCartney: And if you're like me and you like milk chocolate. That's 3900 calories every day of milk chocolate.
Paul McCartney: In order to potentially reduce your risk. Now, I'm not saying I couldn't do that. Okay, but I am saying that I would die of something else, way before I had to worry about getting Alzheimer's or dementia.
Paul McCartney: And yes, this as well as the previous example, I'm looking at the chat does have enormous really really fascinating correlations to health care and we're actually going to do one of those examples. Next, especially with Kobe that I think should be interesting for everyone to see.",Paul McCartney's talk on the importance of data science,35
63,1920,"Paul McCartney: So the question of what we really want to know what we care about death by chocolate yes 3900 calories a day. I think we could do it for a little while, but it may not be great.
Paul McCartney: And I also I, you know, when I was looking back at this study from my mom, I thought, you know, I wonder who funded
Paul McCartney: This study who wanted us to think that chocolate was so great for us. And it's amazing that Mars center for cocoa health science was in charge of the research for this one. They just, you know, so kind of them to want us to, you know, have their products do good for us very frightened.",General conversation,35
64,1950,"Paul McCartney: So we get to our third question we have, who is the data. What do we really want to know, and we get to how is it interpreted
Paul McCartney: So french fries. I like chocolate. But I like French fries, a lot better and I saw this this headline come out eight year study
Paul McCartney: Finds heavy french fry eaters have double the chance of death could french fries be killing you french fries are killing you.",General conversation,35
65,1980,"Paul McCartney: This is true. According to a peer reviewed study published in the American Journal of Clinical Nutrition and what the journal actually said
Paul McCartney: Is that if you eat any form of fried potato more than twice a week, which means three times per week or more you double your risk of death.
Paul McCartney: And it's true. That is what the journal said, and I went back to the study. So let's, let's start with our questions who well in the study. The average person was a 60 YEAR OLD MAN Okay.",General conversation,35
66,2010,"Paul McCartney: And what we really want to know is, we want to know what the differences for risk of death of a 60 year old man, if you eat no potatoes. No french fries versus if you do
Paul McCartney: And that is doubling your risk of death. So our COO and our what makes sense. The question is, is how is it interpreted. So let's look at it a little bit of a different way than doubling your risk of death.
Paul McCartney: If you're a 60 year old man, your risk of death at any point in time, regardless of how much you eat.",General conversation,35
67,2040,"Paul McCartney: Is 1% meaning that if I line up 160 year old men. One of them will die in the next year, just by virtue of the fact that they're 60 and their male sorry 60 year old man apologize but it's going to be better at the end.
Paul McCartney: Now, if these 100 men eat french fries three times per week or more for their entire lives instead of one of them dying.",Paul McCartney's talk on the importance of data science,35
68,2070,"Paul McCartney: To will we double our risk of death instead of one, two, which is still bad. Okay, but it sounds a whole lot better to go from a 1% to a 2% then doubling your risk of death.
Paul McCartney: And I also, you know, I don't know about you guys, but when I eat french
Paul McCartney: Like I eat french fries. I love them, but I don't really just eat french fries. Right. I have like a couple of beers. I have a big old juicy cheeseburger right there with me.
Paul McCartney: And you know if I'm eating french fries three times per week or more, I'm not sure I'm like eating perfectly healthy. The rest of the time. Okay.",General conversation,35
69,2100,"Paul McCartney: I may not exactly be you know out there running five miles per day. If I'm eating french fries three times per week or more. So could it potentially be something else that has an effect on this.
Paul McCartney: So that how we interpret, whether it's double risk of death or one in 100 to two and 100 and these dudes get to eat french fries. All time
Paul McCartney: changes how we see this data. Let's look at another example. And this brings us to the covert testing that we were discussing here earlier.",Paul McCartney's talk on the importance of data science,35
70,2130,"Paul McCartney: And yes, it is too bad that we can't rely on news outlets, you really have to think about these things and ask these questions yourself, which is very, very difficult.
Paul McCartney: Okay, I have the antibodies. So it's safe. If we hang out. We now have an antibody test for coven
Paul McCartney: Meaning that if you've had coven you take the antibody test. If you have the antibodies. The idea is that you are then immune from coven and you also cannot pass it on to other people.
Paul McCartney: For the purposes of this will assume that's true that if you have antibodies. You can you assume that you're immune and you cannot pass it on to other people.",General conversation,40
71,2160,"Paul McCartney: And I've had people say this to me. I've had friends say this to me. I have the antibodies. So it's safe. We can hang out. You can be around me and then go be around your elderly parents, no problem.
Paul McCartney: So the question is, is that true, how good is the testing. So the CDC put out guidance to the general public about these antibody tests. They said, and a population or the prevalence is 5% a test with 90% sensitivity and 95% specificity will yield the positive predictive value of 49%",General conversation,40
72,2190,"Paul McCartney: Sorry. You think the general person that's taking an antibody test has any idea what that means include. I mean, it takes me and this is what I do for a living. And it takes me a while to sit down there and puzzle out what this means.
Paul McCartney: How are people supposed to really understand this. Yes, this is definitely where the headache comes on. Thank you.
Paul McCartney: So let's take a step back and think about what question we really want to know the first test approved by the FDA for coven 19 antibody testing as sent on the CDC website is 95% accurate.",Paul McCartney's talk on the importance of data science,40
73,2220,"Paul McCartney: What we want to know is what is the chance if your friend comes to you and says, I have the antibodies, it's safe to hang out.
Paul McCartney: What you want to know is what is the chance that an individual actually has the antibodies, assuming they test positive
Paul McCartney: Most people would assume based upon the CDC website is that it's 95% the test is 95% accurate. So there's a 95% chance that they have the antibodies and then it's fine.",Paul McCartney's talk on the importance of data science,40
74,2250,"Paul McCartney: Let's take a closer look. If you have an antibody test. There are four possible outcomes outcome. One is you are positive and you test positive the test did its job. You're all good.
Paul McCartney: Outcome to is that you are negative for antibodies and you test negative again the test did its job.
Paul McCartney: But because the test is not 100% accurate. There are two other possible outcomes. The first is a false negative",Paul McCartney's talk on the importance of data science,40
75,2280,"Paul McCartney: That means the test says you don't have the antibodies test negative. But you do have them the falls apart.
Paul McCartney: Now, that one's not that dangerous, right. It's kind of annoying because you wish you knew that you had the antibodies and you can go out and do stuff.
Paul McCartney: But you're not going to pass the disease on to, and you're going to pass the virus on to anyone else because you're going to think that you don't have the end the body. So you need to stay home.
Paul McCartney: But there's a fourth option, a false positive, the test says you have the antibodies, but you don't
Paul McCartney: And this is the really dangerous one. Because you're going to think that you're going to your immune, you're going to think you can't pass it on to anyone else. And you're going to go out into the wide world and pass it on.",General conversation,40
76,2310,"Paul McCartney: And this is the really dangerous one. Because you're going to think that you're going to your immune, you're going to think you can't pass it on to anyone else. And you're going to go out into the wide world and pass it on.
Paul McCartney: So the question is, how often does this happen. So let's let's look. Let's take a real scenario.
Paul McCartney: 5% of the population has coded 19 that's what the CDC meant when they said 5% prevalence, meaning that they 5% is had it and we'll test positive for it.
Paul McCartney: And the coven 19 antibody test is 95% accurate. So those are two assumptions and starting points. So let's say we have a population of thousand people. Let's say it's 1000 people at work.",General conversation,40
77,2340,"Paul McCartney: So if there's 5% prevalence in the population 5% of these people have had coven and will test positive for it 5% of 1000 is 50 people so 50 people have antibodies and we'll test positive for tested its job.
Paul McCartney: But the test is only 95% accurate meaning 5% of the time, it won't be accurate.
Paul McCartney: So we will have a 5% false positive rate, people will falsely test positive, it will tell them that they have the antibodies, but they don't 5% of 1000 is again 50 so we have 50 people who will falsely test positive",Paul McCartney's talk on the importance of data science,40
78,2370,"Paul McCartney: So we will have a 5% false positive rate, people will falsely test positive, it will tell them that they have the antibodies, but they don't 5% of 1000 is again 50 so we have 50 people who will falsely test positive
Paul McCartney: Now out of our thousand people all 100 of these people will test positive all 100 old test positive, but only 50 of them actually have it.
Paul McCartney: Meaning there's only a 50% chance that you actually have the antibodies. So back to our original question of what is the chance to be an individual actually has the antibodies, assuming they test positive",Paul McCartney's talk on the importance of data science,40
79,2400,"Paul McCartney: Meaning there's only a 50% chance that you actually have the antibodies. So back to our original question of what is the chance to be an individual actually has the antibodies, assuming they test positive
Paul McCartney: 50%. That's it. It's the same as a toss of a coin. So when we think that if we have the antibodies. We can go back out into the world.
Paul McCartney: There's a 5050 chance that it won't work. Yes. Not all 1000 people get the test that is true, but we're going, we're basing this idea of antibody testing on that it will help us get back to work.",Paul McCartney's talk on the importance of data science,40
80,2430,"Paul McCartney: And so we would test everyone in the population and how it, but people who test negative impact this style at all in general that number for this 95% accurate what they meant was 5% false positives and 5% false negatives. So there would also be a large issue with that as well.
Paul McCartney: Okey dokey.
Paul McCartney: So, how we interpret the data, you know, CDC put out that statement, but how we interpret it as 95% accurate versus actually 5050 changes the entire way that we look at the situation.",Overview of upcoming project,45
81,2460,"Paul McCartney: So now we get to our final example of how and my favorite one finished baby boxes in 2013 the BBC put out this article Why finished babies sleep in cardboard boxes.
Paul McCartney: It was an article documenting the finished policy of giving every mother a cardboard box baby supplies and the baby would use the box as a bed.
Paul McCartney: And this is a really interesting example of what happened because it exploded all over the place. People were talking about these baby boxes and for me, when my Molly, I will be right back to you. I'm going to write outside talk about that at the end.",General conversation,45
82,2490,"Paul McCartney: But inside this article was a graph and it showed Finland's incredible decrease in infant mortality rate incredible progress from 1935 down here to 2010
Paul McCartney: And it also included Finland's and current infant mortality rate which is two and 1000 versus the rest of the world, which is 32 and 1000",Paul McCartney's talk on the importance of data science,45
83,2520,"Paul McCartney: So really incredible based upon this policy of sending every mother a baby box.
Paul McCartney: And it sparked an entire industry finished baby boxes British baby boxes. I actually went to a shower recently and the girl, my friend who was having a baby got two baby boxes at this whole industry.
Paul McCartney: And it's incredible really this box this cardboard box that can save a baby's life. It's not just any cardboard box. It's an $850 cardboard box.",General conversation,45
84,2550,"Paul McCartney: I'm not really sure what they print on that thing. But inside of it actually looks got one to look at it and I'm inside. It has six diapers, which I'm I think any parents would be able to decide how long six diapers last
Paul McCartney: Like two one Z's. A couple books. So really, the, the whole thing is this cardboard box.
Paul McCartney: Is your baby slept one baby slept in a dresser drawer exactly same concept but you know i i would admit I hope the dresser Jordan cost 800 bucks, but you never know.
Paul McCartney: And so, but, you know, okay, if we really believed that this box would save your child's life would save any child's life, you'd say fine 800 bucks. No problem. You would do anything to get that box anything. So the question is, does it",General conversation,45
85,2580,"Paul McCartney: Let's take a look back at this exact same graph and how we're going to interpret this data and how we're going to interpret this graph.
Paul McCartney: In 1938 Finland had a higher infant mortality profile, then it's other Nordic neighbors and it decided it needed to do something about it.",Paul McCartney's talk on the importance of data science,45
86,2610,"Paul McCartney: So it went on this incredible marketing campaign convincing others rich, poor educated or uneducated that they if they had their kids sleeping this baby box back kids slept in it they be fine. They'd survive, but this would save their child's life.
Paul McCartney: And when every mother was convinced of this and wanted this baby box. The finished government said, you know, there's actually a catch.",Paul McCartney's talk on the importance of data science,45
